dataset	image	max_sim_image	max_sim_image_dist	med_sim_image	med_sim_image_dist	min_sim_image	min_sim_image_dist
mscoco	207	2189	0.23279285430908203	1885	0.8196191489696503	953	0.9615003727376461
mscoco	208	310	0.3094257116317749	3272	0.7975110113620758	2957	0.9488558433949947
mscoco	209	2489	0.3954313397407532	2893	0.781632274389267	343	0.9453677646815777
mscoco	210	342	0.4647384285926819	1554	0.8185604214668274	2028	0.9463416337966919
mscoco	211	2684	0.26979851722717285	915	0.833024650812149	953	0.9588882848620415
mscoco	212	218	0.16419076919555664	3904	0.8056870400905609	343	0.9676478356122971
mscoco	213	953	0.3677986264228821	3281	0.8832247406244278	2189	0.9728980921208858
mscoco	214	1198	0.3119531273841858	2894	0.8792145848274231	4018	0.9752247761934996
mscoco	215	2949	0.1929628849029541	1822	0.7717693597078323	3140	0.9503924287855625
mscoco	216	4428	0.27922552824020386	778	0.8336980938911438	599	0.9658546783030033
mscoco	217	844	0.304726779460907	1519	0.7461037635803223	1119	0.9353853985667229
mscoco	218	2601	0.33400189876556396	3784	0.7503813356161118	343	0.950681772083044
mscoco	219	219	0.15275287628173828	3936	0.8053597658872604	1119	0.9632584825158119
mscoco	220	4397	0.13342702388763428	800	0.8041688352823257	343	0.9663915522396564
mscoco	221	3310	0.3468826413154602	4442	0.7686601728200912	2494	0.9417544528841972
mscoco	222	3141	0.41213613748550415	3946	0.8168713003396988	4738	0.9342533871531487
mscoco	223	4931	0.43875688314437866	4512	0.8314303308725357	2229	0.9495296329259872
mscoco	224	4397	0.29356664419174194	1596	0.7738968580961227	3079	0.9588926546275616
mscoco	225	2319	0.44308239221572876	319	0.7867433875799179	704	0.9433983191847801
mscoco	226	721	0.37161368131637573	181	0.7439726293087006	2494	0.9518556520342827
mscoco	227	4541	0.4159242510795593	3963	0.8392529785633087	4507	0.9597967639565468
mscoco	228	3899	0.46414488554000854	1605	0.8322070240974426	3130	0.9437985010445118
mscoco	229	959	0.48449528217315674	3985	0.8514411449432373	422	0.9545550532639027
mscoco	230	341	0.3854890465736389	1533	0.826910525560379	1767	0.956599734723568
mscoco	231	2004	0.28949928283691406	3328	0.8120218813419342	4426	0.9574717320501804
mscoco	232	1849	0.42393022775650024	3869	0.7936224788427353	4531	0.9429568126797676
mscoco	233	3295	0.38932448625564575	3343	0.7835263758897781	4748	0.9372028410434723
mscoco	234	620	0.42852991819381714	1810	0.7637274861335754	3714	0.9235993027687073
mscoco	235	235	0.3409792184829712	3607	0.7758527845144272	3610	0.9193013608455658
mscoco	236	235	0.3409792184829712	1803	0.7907865941524506	3580	0.9533157497644424
mscoco	237	4983	0.2820934057235718	4060	0.8204365670681	1957	0.9610191099345684
mscoco	238	4762	0.2629515528678894	523	0.7742654830217361	2484	0.9246719926595688
mscoco	239	1829	0.28235429525375366	2360	0.8360081166028976	2760	0.9511767588555813
mscoco	240	2219	0.26150280237197876	2418	0.7979593575000763	953	0.9377842172980309
mscoco	241	4793	0.3734810948371887	3908	0.8108416944742203	417	0.9383924081921577
mscoco	242	4793	0.42655616998672485	3176	0.8280935138463974	4633	0.9558744020760059
mscoco	243	1126	0.3498731255531311	3031	0.8337174504995346	216	0.956521600484848
mscoco	244	3931	0.25524014234542847	992	0.7926796078681946	854	0.9426055401563644
mscoco	245	2722	0.3525892496109009	259	0.8177697509527206	2349	0.942963469773531
mscoco	246	4805	0.4524819850921631	1821	0.7503318935632706	255	0.9291047155857086
mscoco	247	2133	0.42218708992004395	3487	0.7568588107824326	3156	0.9340157434344292
mscoco	248	4941	0.2407292127609253	2171	0.8503532558679581	3977	0.9515880905091763
mscoco	249	1227	0.24270015954971313	1506	0.82378189265728	370	0.9496767669916153
mscoco	250	2724	0.26410144567489624	1250	0.7509599328041077	1762	0.9180992394685745
mscoco	251	2057	0.3238063454627991	3705	0.7770619243383408	343	0.9313335418701172
mscoco	252	4639	0.2049487829208374	1784	0.788567841053009	349	0.946726605296135
mscoco	253	503	0.33983439207077026	2737	0.851838618516922	2494	0.9556070193648338
mscoco	254	4053	0.5291175842285156	4285	0.7977366596460342	4116	0.9427435770630836
mscoco	255	4299	0.3201351761817932	213	0.8582233637571335	4099	0.9702020697295666
mscoco	256	767	0.336670458316803	1798	0.8788074254989624	2002	0.9781383294612169
mscoco	257	1452	0.41375732421875	4718	0.7794814705848694	4847	0.9350927323102951
mscoco	258	4391	0.4358478784561157	4399	0.8144891858100891	4607	0.9476323164999485
mscoco	259	3912	0.3799852132797241	4044	0.7973704785108566	4614	0.9298680052161217
mscoco	260	3240	0.39650481939315796	879	0.8295970410108566	3925	0.9521775096654892
mscoco	261	53	0.46995389461517334	1777	0.7969950586557388	1020	0.9324570968747139
mscoco	262	2078	0.4249301552772522	3310	0.7870723754167557	1896	0.9376441314816475
mscoco	263	2713	0.41479384899139404	165	0.8184285759925842	3327	0.9491678886115551
mscoco	264	2722	0.2823278307914734	4650	0.8334601372480392	4099	0.9570514857769012
mscoco	265	1865	0.25395989418029785	1320	0.7990648150444031	3528	0.9248358830809593
mscoco	266	4352	0.486331045627594	862	0.7988906651735306	2502	0.9472666569054127
mscoco	267	4828	0.27676236629486084	3691	0.8035794049501419	2229	0.9302242025732994
mscoco	268	405	0.2575540542602539	710	0.831073448061943	953	0.9538234807550907
mscoco	269	656	0.18769007921218872	4432	0.8428509086370468	2760	0.955639198422432
mscoco	270	2579	0.2016608715057373	4854	0.8085081428289413	2028	0.9341607540845871
mscoco	271	692	0.34972822666168213	3990	0.8183952867984772	3351	0.9525581859052181
mscoco	272	1873	0.46513640880584717	135	0.8051653504371643	592	0.9378288611769676
mscoco	273	3552	0.42567795515060425	3943	0.7615168690681458	4116	0.9413382112979889
mscoco	274	1010	0.19877231121063232	2050	0.8193836063146591	1859	0.9460849612951279
mscoco	275	4218	0.3682163953781128	1772	0.8224914819002151	1270	0.9447453208267689
mscoco	276	533	0.3111691474914551	3101	0.8463323712348938	301	0.9658072255551815
mscoco	277	3737	0.31284821033477783	1640	0.8086680024862289	3616	0.965918842703104
mscoco	278	213	0.369179368019104	3393	0.8732218891382217	4385	0.9811217449605465
mscoco	279	668	0.26163923740386963	2107	0.8265758007764816	1645	0.9581270553171635
mscoco	280	2592	0.36920374631881714	1418	0.7526483833789825	1763	0.9118071720004082
mscoco	281	3513	0.4187818169593811	2491	0.7887817770242691	2169	0.926476314663887
mscoco	282	4110	0.44245797395706177	3697	0.8151616454124451	343	0.9533556029200554
mscoco	283	3349	0.37876254320144653	2973	0.804866835474968	3003	0.9400981478393078
mscoco	284	2014	0.5335229337215424	614	0.840906411409378	2441	0.9545231126248837
mscoco	285	1508	0.3789653778076172	3555	0.7942627519369125	1280	0.9303197637200356
mscoco	286	162	0.299851655960083	4417	0.7327508628368378	2549	0.916890487074852
mscoco	287	1913	0.5107501447200775	1419	0.8076947927474976	2957	0.9352991282939911
mscoco	288	3708	0.40304726362228394	1671	0.8140694946050644	3332	0.9546279683709145
mscoco	289	2519	0.30877190828323364	4602	0.7871981859207153	343	0.9412506930530071
mscoco	290	4232	0.47910135984420776	13	0.7941959351301193	4398	0.947547372430563
mscoco	291	3625	0.34491682052612305	2413	0.7953160852193832	1119	0.9488069042563438
mscoco	292	1634	0.41773706674575806	565	0.8241127878427505	362	0.9581310972571373
mscoco	293	3306	0.364601731300354	4580	0.7621402144432068	3077	0.956763818860054
mscoco	294	2601	0.46711480617523193	789	0.7601505666971207	3580	0.9248091727495193
mscoco	295	2802	0.21075350046157837	380	0.8385595232248306	4176	0.9586170092225075
mscoco	296	1122	0.36403536796569824	2039	0.7938518673181534	592	0.9483710154891014
mscoco	297	3334	0.5577146112918854	2517	0.840521052479744	599	0.9594088755548
mscoco	298	501	0.5800780951976776	147	0.8175709992647171	3580	0.9490855075418949
mscoco	299	4060	0.37516677379608154	2244	0.7857715338468552	4738	0.9257124960422516
mscoco	300	2908	0.2540624737739563	58	0.8040506541728973	3332	0.9544893801212311
mscoco	301	676	0.22751295566558838	3629	0.7986695915460587	3003	0.9461468383669853
mscoco	302	2403	0.2236294150352478	1191	0.8481796085834503	3294	0.980573171749711
mscoco	303	3727	0.32901686429977417	2468	0.7701770067214966	4531	0.9254851266741753
mscoco	304	1047	0.2548726201057434	4305	0.8167628198862076	3294	0.9527085162699223
mscoco	305	580	0.53513503074646	254	0.7944334596395493	838	0.9383604452013969
mscoco	306	4617	0.25484365224838257	1753	0.8406724333763123	1280	0.9658749178051949
mscoco	307	455	0.4091947674751282	2823	0.7816477566957474	4076	0.9242656081914902
mscoco	308	2425	0.27305424213409424	3150	0.798264816403389	343	0.9558410607278347
mscoco	309	4508	0.19983530044555664	1834	0.8496675491333008	1280	0.972051415592432
mscoco	310	4371	0.21344232559204102	1386	0.8251914232969284	1280	0.9701155852526426
mscoco	311	309	0.2398788332939148	2174	0.8383284956216812	4962	0.965932872146368
mscoco	312	3208	0.278609037399292	1972	0.829157292842865	4076	0.9689628258347511
mscoco	313	4993	0.4011905789375305	3248	0.7694004327058792	634	0.9401110708713531
mscoco	314	3247	0.46610748767852783	2758	0.7706104218959808	3481	0.927068680524826
mscoco	315	2281	0.23706239461898804	2705	0.8272601813077927	1280	0.9633601158857346
mscoco	316	3449	0.3319935202598572	2942	0.7649698555469513	3844	0.9263192862272263
mscoco	317	49	0.276699960231781	3338	0.8105530887842178	4962	0.9659529030323029
mscoco	318	1187	0.5432799756526947	1397	0.8444659560918808	3714	0.9635824412107468
mscoco	319	1291	0.5261119306087494	4505	0.8044367432594299	1234	0.9392784796655178
mscoco	320	588	0.46313148736953735	2361	0.8052818328142166	1119	0.9382993876934052
mscoco	321	3724	0.579129546880722	416	0.8461524844169617	3925	0.9584946781396866
mscoco	322	4916	0.33245450258255005	3088	0.7754272818565369	3499	0.9221517145633698
mscoco	323	1654	0.4552481174468994	4466	0.8059646189212799	1119	0.9387916773557663
mscoco	324	3491	0.35982054471969604	3913	0.8258378803730011	2985	0.9729564562439919
mscoco	325	3624	0.24889469146728516	4273	0.8428531587123871	2875	0.9570863321423531
