dataset	architecture	cap_len	token_pos	tag	freq	prop
mscoco	pre	8	2	ADP	636	0.43983402489626555
mscoco	pre	8	2	NOUN	251	0.173582295988935
mscoco	pre	8	2	ADJ	21	0.014522821576763486
mscoco	pre	8	2	CONJ	17	0.011756569847856155
mscoco	pre	8	3	DET	632	0.43706777316735823
mscoco	pre	8	3	VERB	257	0.177731673582296
mscoco	pre	8	3	NOUN	290	0.20055325034578148
mscoco	pre	8	3	ADP	184	0.1272475795297372
mscoco	pre	8	3	ADJ	64	0.04426002766251729
mscoco	pre	8	3	PRT	17	0.011756569847856155
mscoco	pre	8	3	CONJ	2	0.0013831258644536654
mscoco	pre	8	4	NOUN	739	0.5110650069156293
mscoco	pre	8	4	VERB	331	0.2289073305670816
mscoco	pre	8	4	ADP	133	0.09197786998616875
mscoco	pre	8	4	DET	116	0.08022130013831259
mscoco	pre	8	4	ADJ	74	0.051175656984785614
mscoco	pre	8	4	PRT	52	0.035961272475795295
mscoco	pre	8	4	CONJ	1	0.0006915629322268327
mscoco	pre	8	5	ADP	663	0.45850622406639
mscoco	pre	8	5	CONJ	277	0.19156293222683266
mscoco	pre	8	5	NOUN	172	0.11894882434301521
mscoco	pre	8	5	DET	160	0.11065006915629322
mscoco	pre	8	5	PRT	144	0.0995850622406639
mscoco	pre	8	5	VERB	18	0.012448132780082987
mscoco	pre	8	5	ADJ	11	0.007607192254495159
mscoco	pre	8	5	PRON	1	0.0006915629322268327
mscoco	pre	8	6	DET	1064	0.73582295988935
mscoco	pre	8	6	ADP	83	0.05739972337482711
mscoco	pre	8	6	ADJ	80	0.05532503457814661
mscoco	pre	8	6	NOUN	124	0.08575380359612725
mscoco	pre	8	6	CONJ	35	0.024204702627939143
mscoco	pre	8	6	PRON	22	0.015214384508990318
mscoco	pre	8	6	VERB	38	0.02627939142461964
mscoco	pre	8	7	NOUN	1415	0.9785615491009682
mscoco	pre	8	7	PRON	27	0.01867219917012448
mscoco	pre	8	7	ADJ	3	0.002074688796680498
mscoco	pre	8	7	VERB	1	0.0006915629322268327
mscoco	pre	9	0	DET	1723	1.0
mscoco	pre	9	1	NOUN	1322	0.767266395821242
mscoco	pre	9	1	ADJ	396	0.2298316889146837
mscoco	pre	9	1	VERB	4	0.0023215322112594312
mscoco	pre	9	1	ADV	1	0.0005803830528148578
mscoco	pre	9	2	ADP	604	0.3505513639001741
mscoco	pre	9	2	VERB	461	0.2675565873476494
mscoco	pre	9	2	NOUN	495	0.2872896111433546
mscoco	pre	9	2	CONJ	116	0.0673244341265235
mscoco	pre	9	2	ADJ	26	0.015089959373186303
mscoco	pre	9	2	DET	19	0.011027278003482298
mscoco	pre	9	2	ADV	2	0.0011607661056297156
mscoco	pre	9	3	NOUN	492	0.28554846198491
mscoco	pre	9	3	ADP	512	0.2971561230412072
mscoco	pre	9	3	ADJ	122	0.07080673244341265
mscoco	pre	9	3	VERB	386	0.2240278583865351
mscoco	pre	9	3	DET	174	0.10098665118978525
mscoco	pre	9	3	PRT	29	0.016831108531630876
mscoco	pre	9	3	CONJ	7	0.004062681369704005
mscoco	pre	9	3	PRON	1	0.0005803830528148578
mscoco	pre	9	4	VERB	421	0.24434126523505514
mscoco	pre	9	4	DET	597	0.3464886825304701
mscoco	pre	9	4	ADJ	74	0.042948345908299476
mscoco	pre	9	4	NOUN	366	0.21242019733023795
mscoco	pre	9	4	ADP	223	0.1294254207777133
mscoco	pre	9	4	CONJ	21	0.012188044109112013
mscoco	pre	9	4	PRT	18	0.01044689495066744
mscoco	pre	9	4	ADV	2	0.0011607661056297156
mscoco	pre	9	4	NUM	1	0.0005803830528148578
mscoco	pre	9	5	ADJ	262	0.15206035983749275
mscoco	pre	9	5	NOUN	878	0.5095763203714452
mscoco	pre	9	5	PRT	48	0.027858386535113175
mscoco	pre	9	5	ADP	229	0.13290771909460244
mscoco	pre	9	5	VERB	131	0.07603017991874637
mscoco	pre	9	5	DET	162	0.09402205455600697
mscoco	pre	9	5	CONJ	11	0.006384213580963436
mscoco	pre	9	5	NUM	2	0.0011607661056297156
mscoco	pre	9	6	PRT	303	0.1758560650029019
mscoco	pre	9	6	ADP	792	0.4596633778293674
mscoco	pre	9	6	CONJ	88	0.05107370864770749
mscoco	pre	9	6	DET	245	0.14219384793964016
mscoco	pre	9	6	VERB	69	0.04004643064422519
mscoco	pre	9	6	NOUN	213	0.12362159024956472
mscoco	pre	9	6	ADJ	12	0.006964596633778294
mscoco	pre	9	6	PRON	1	0.0005803830528148578
mscoco	pre	9	7	DET	1168	0.677887405687754
mscoco	pre	9	7	ADJ	92	0.053395240858966915
mscoco	pre	9	7	NOUN	197	0.114335461404527
mscoco	pre	9	7	ADP	156	0.09053975623911782
mscoco	pre	9	7	PRON	41	0.02379570516540917
mscoco	pre	9	7	CONJ	28	0.01625072547881602
mscoco	pre	9	7	VERB	41	0.02379570516540917
mscoco	pre	9	8	NOUN	1459	0.8467788740568776
mscoco	pre	9	8	ADJ	198	0.11491584445734185
mscoco	pre	9	8	PRON	61	0.035403366221706326
mscoco	pre	9	8	VERB	4	0.0023215322112594312
mscoco	pre	9	8	ADP	1	0.0005803830528148578
mscoco	pre	10	0	DET	1056	0.9952874646559849
mscoco	pre	10	0	NUM	5	0.00471253534401508
mscoco	pre	10	1	ADJ	215	0.20263901979264845
